quote,author,characters,used
"There are three types of lies -- lies, damn lies, and statistics.",Benjamin Disraeli,0,FALSE
"Statistically speaking, there is a 65 percent chance that the love of your life is having an affair. Be very suspicious.",Scott Dikkers,0,FALSE
A single death is a tragedy; a million deaths is a statistic.,Joseph Stalin,0,FALSE
"A recent survey or North American males found 42% were overweight, 34% were critically obese and 8% ate the survey.",Banksy,0,FALSE
"Facts are stubborn things, but statistics are pliable.",Mark Twain,0,FALSE
"Most murders are committed by someone who is known to the victim. In fact, you are most likely to be murdered by a member of your own family on Christmas day.",Mark Haddon,0,FALSE
"I couldn't claim that I was smarter than sixty-five other guys--but the average of sixty-five other guys, certainly!",Richard Feynman,0,FALSE
"Reports that say that something hasn't happened are always interesting to me, because as we know, there are known knowns; there are things we know we know. We also know there are known unknowns; that is to say we know there are some things we do not know. But there are also unknown unknowns- the ones we don't know we don't know.",Donald Rumsfeld,0,FALSE
The logic behind patriotism is a mystery. At least a man who believes that his own family or clan is superior to all others is familiar with more than 0.000003% of the people involved.,Criss Jami,0,FALSE
All the statistics in the world can't measure the warmth of a smile.,Chris Hart,0,FALSE
"If your experiment needs a statistician, you need a better experiment.",Ernest Rutherford,0,FALSE
"We are not concerned with the very poor. They are unthinkable, and only to be approached by the statistician or the poet.",E.M. Forster,0,FALSE
All statistics have outliers.,Nenia Campbell,0,FALSE
"Another mistaken notion connected with the law of large numbers is the idea that an event is more or less likely to occur because it has or has not happened recently. The idea that the odds of an event with a fixed probability increase or decrease depending on recent occurrences of the event is called the gambler's fallacy. For example, if Kerrich landed, say, 44 heads in the first 100 tosses, the coin would not develop a bias towards the tails in order to catch up! That's what is at the root of such ideas as ""her luck has run out"" and ""He is due."" That does not happen. For what it's worth, a good streak doesn't jinx you, and a bad one, unfortunately , does not mean better luck is in store.",Leonard Mlodinow,0,FALSE
99 percent of all statistics only tell 49 percent of the story.,Ron DeLegge,0,FALSE
I guess I think of lotteries as a tax on the mathematically challenged.,Roger Jones,0,FALSE
"He could not believe that any of them might actually hit somebody. If one did, what a nowhere way to go: killed by accident; slain not as an individual but by sheer statistical probability, by the calculated chance of searching fire, even as he himself might be at any moment. Mathematics! Mathematics! Algebra! Geometry! When 1st and 3d Squads came diving and tumbling back over the tiny crest, Bell was content to throw himself prone, press his cheek to the earth, shut his eyes, and lie there. God, oh, God! Why am I here? Why am I here? After a moment's thought, he decided he better change it to: why are we here. That way, no agency of retribution could exact payment from him for being selfish",James Jones,0,FALSE
"Whenever I read statistical reports, I try to imagine my unfortunate contemporary, the Average Person, who, according to these reports, has 0.66 children, 0.032 cars, and 0.046 TVs.",Kato Lomb,0,FALSE
"Statistics show that the nature of English crime is reverting to its oldest habits. In a country where so many desire status and wealth, petty annoyances can spark disproportionately violent behaviour. We become frustrated because we feel powerless, invisible, unheard. We crave celebrity, but that’s not easy to come by, so we settle for notoriety. Envy and bitterness drive a new breed of lawbreakers, replacing the old motives of poverty and the need for escape. But how do you solve crimes which no longer have traditional motives?",Christopher Fowler,0,FALSE
"Of course, if 40% of women need oxytocin to progress normally, then something is wrong with the definition of normal.",Henci Goer,0,FALSE
"Statistics, likelihoods, and probabilities mean everything to men, nothing to God",Richelle E. Goodrich,0,FALSE
"Nature has established patterns originating in the return of events, but only for the most part. New illnesses flood the human race, so that no matter how many experiments you have done on corpses, you have not thereby immposd a limit on the nature of events so that in the future they could not vary.",Gottfried Wilhelm Leibniz,0,FALSE
"If I want to understand an individual human being, I must lay aside all scientific knowledge of the average man and discard all theories in order to adopt a completely new and unprejudiced attitude. I can only approach the task of understanding with a free and open mind, whereas knowledge of man, or insight into human character, presupposes all sorts of knowledge about mankind in general.",C.G. Jung,0,FALSE
"...when one considers that there are more than 750,000 police officers in the United States and that these officers have tens of millions of interactions with citizens each year, it is clear that police shootings are extremely rare events and that few officers--less than one-half of 1 percent each year--ever shoot anyone.",David Klinger,0,FALSE
"There are two kinds of statistics, the kind you look up and the kind you make up.",Rex Stout,0,FALSE
Abstain from reading comedy or other government economic statistics.,Jarod Kintz,0,FALSE
"This book is an essay in what is derogatorily called ""literary economics,"" as opposed to mathematical economics, econometrics, or (embracing them both) the ""new economic history."" A man does what he can, and in the more elegant - one is tempted to say ""fancier"" - techniques I am, as one who received his formation in the 1930s, untutored. A colleague has offered to provide a mathematical model to decorate the work. It might be useful to some readers, but not to me. Catastrophe mathematics, dealing with such events as falling off a height, is a new branch of the discipline, I am told, which has yet to demonstrate its rigor or usefulness. I had better wait. Econometricians among my friends tell me that rare events such as panics cannot be dealt with by the normal techniques of regression, but have to be introduced exogenously as ""dummy variables."" The real choice open to me was whether to follow relatively simple statistical procedures, with an abundance of charts and tables, or not. In the event, I decided against it. For those who yearn for numbers, standard series on bank reserves, foreign trade, commodity prices, money supply, security prices, rate of interest, and the like are fairly readily available in the historical statistics.",Charles P. Kindleberger,0,FALSE
How easy it is for so many of us today to be undoubtedly full of information yet fully deprived of accurate information.,Criss Jami,0,FALSE
"If you want what’s best for your kids, one surefire way to provide them with a healthy, happy home is to make sure they have lesbian parents. In the longest-running study of lesbian families to date,2 zero percent of children reported physical or sexual abuse—not a one. In the general population, 26 percent of children report physical abuse and 8.3 percent report sexual abuse.",Jessica Valenti,0,FALSE
Our statistics are at fault: the population has been returned too large. How many men are there to a square thousand miles in this country? Hardly one.,Henry David Thoreau,0,FALSE
One of the first things taught in introductory statistics textbooks is that correlation is not causation. It is also one of the first things forgotten.,Thomas Sowell,0,FALSE
"To clarify, *add* data.",Edward R. Tufte,0,FALSE
"My biggest hope for this work is that it will help others to remember the sacrifices made for our freedom, and even more so to remember that the men, women, and children all involved in and affected by this era were not just statistics: they were people just like we are, with the same hopes, dreams, and very imminent fears.",J. Neven-Pugh,0,FALSE
"Statistics are somewhat like old medical journals, or like revolvers in newly opened mining districts. Most men rarely use them, and find it troublesome to preserve them so as to have them easy of access; but when they do want them, they want them badly.",John Saw Billings,0,FALSE
"Statisticans looking for connections can always find odd coincidences and statistical anomalies, if they try hard enough.",Brandon Sanderson,0,FALSE
Florence Nightingale believed that the administrator could only be successful if he were guided by statistical knowledge,Karl Pearson,0,FALSE
"Design experiment. Then calculate statistical significance. Publish articles showing ""significant"" results. Enjoy promotion.",Stephen Thomas Ziliak,0,FALSE
"A small sample, we repeat, is rarely the big scientific problem. Interpretation is.",Stephen Thomas Ziliak,0,FALSE
"...it is worth looking closer and remembering something Marcos Alvito told me: Statistics are like a bikini. They show so much, but they hide the most important parts.",Dave Zirin,0,FALSE
The only meaningful statistic in warfare is when the other side quits.,Karl Marlantes,0,FALSE
"If the universe was scientific and just left to itself, then we’d have statistical probabilities to rely on. But once people are involved it sometimes becomes much more problematic because they’re erratic. People do crazy things that don’t make sense.",Sara Sheridan,0,FALSE
"We encounter regression to the mean almost every day of our lives. We should try to anticipate it, recognize it, and not be fooled by it.",Gary Smith,0,FALSE
Many a statistic is false on its face. It gets by only because the magic of numbers brings about a suspension of common sense.,Darrell Huff,0,FALSE
"We may at once admit that any inference from the particular to the general must be attended with some degree of uncertainty, but this is not the same as to admit that such inference cannot be absolutely rigorous, for the nature and degree of the uncertainty may itself be capable of rigorous expression.",Sir Ronald Fisher,0,FALSE
Above all else show the data.,Edward R. Tufte,0,FALSE
"If the statistics are boring, then you've got the wrong numbers.",Edward R. Tufte,0,FALSE
"Individuals vary, but percentages remain constant. So says the statistician.",Arthur Conan Doyle,0,FALSE
"Statistics were magic like this: they could tell you with near-certainty that a thing would occur, without a hint of when or where.",Hugh Howey,0,FALSE
"The non-scientist in the street probably has a clearer notion of physics, chemistry and biology than of statistics, regarding statisticians as numerical philatelists, mere collector of numbers.",Stephen Senn,0,FALSE
Statistics lie. They are designed to sway opinions. Take the time to keep yourself informed on things that matter.,Steve Maraboli,0,FALSE
"The value for which P=0.05, or 1 in 20, is 1.96 or nearly 2; it is convenient to take this point as a limit in judging whether a deviation ought to be considered significant or not.",Sir Ronald Fisher,0,FALSE
It is the mark of a truly intelligent person to be moved by statistics.,George Bernard Shaw,0,FALSE
Statistics is the art of lying by means of figures,Wilhelm Stekel,0,FALSE
Statistics are no substitute for judgment,Henry Clay,0,FALSE
I can prove anything by statistics except the truth,George Canning,0,FALSE
The customer is usually wrong; but statistics indicate that it doesn't pay to tell him so.,Aleister Crowley,0,FALSE
He uses statistics as a druken man uses lampposts; for support rather than for illumination,Andrew Lang,0,FALSE
"Statistics show that of those who contract the habit of eating, very few survive.",George Bernard Shaw,0,FALSE
"The statistics on sanity are that one out of every four people is suffering from a mental illness. Look at your 3 best friends. If they're ok, then it's you.",Rita Mae Brown,0,FALSE
Brithdays are good for you. Statistics show that the people who have the most live the longest.,Larry Lorenzoni,0,FALSE
"Well, there's a probability of anything. Statistically speaking, if you gave typewriters to a treeful of monkeys, they'd eventually produce the works of Shakespeare.",Peter Davison,0,FALSE
Statistics can be used to support anything; especially statisticians.,Franklin P. Jones,0,FALSE
Torture numbers and they will confess to anything,Gregg Easterbrook,0,FALSE
"Statisticians, like artists, have the bad habit of falling in love with their models.",George Box,0,FALSE
The greatest moments are those when you see the result pop up in a graph or in your statistics analysis - that moment you realise you know something no one else does and you get the pleasure of thinking about how to tell them.,Emily Oster,0,FALSE
Definition of Statistics: The science of producing unreliable facts from reliable figures,Evan Esar,0,FALSE
Smoking is one of the leading cause of statistics.,Fletcher Knebel,0,FALSE
